id,requirement,num_alt,alternative
S5,Biker can view all the available bikes in close proximity defined by the him/her such as specifying that they only want to see the bikes that are available in a proximity of 100 meters.,0,"The design solution employs the Proximity-based Service Discovery pattern to fulfill the requirement of allowing bikers to view available bikes within a user-defined proximity, specifically 100 meters. This pattern facilitates dynamic discovery of bike locations based on the user's current GPS data, enhancing user experience by providing real-time availability. The design assumes accurate location tracking and integrates location services, which may introduce complexity in managing location data. The reflection indicates a strong alignment with the requirement, scoring 9 out of 10, but notes that potential challenges and alternatives were not fully explored, which could impact the completeness of the solution. The decision to implement this pattern is appropriate given the target requirements, though it may involve trade-offs related to system complexity and data management. Follow-up decisions will be necessary to address these complexities and ensure robust location tracking."
S5,Biker can view all the available bikes in close proximity defined by the him/her such as specifying that they only want to see the bikes that are available in a proximity of 100 meters.,1,"The design solution for enabling bikers to view available bikes within a specified proximity utilizes the Geofencing design pattern, which effectively manages geographical boundaries through real-time location tracking. This pattern is appropriate for the requirement as it enhances user experience by providing relevant information about nearby bikes and can be integrated with mobile devices for seamless access. However, the design assumes the availability of accurate GPS data and raises privacy concerns that necessitate compliance with regulations like GDPR. The solution's quality attributes are positively impacted by improved user engagement, but potential risks include inaccuracies in location data and user privacy issues. The reflection indicates a score of 8, highlighting that while the Geofencing pattern addresses the requirement well, the absence of a final implementation plan limits the completeness of the solution. Additional follow-up decisions will be necessary to finalize the implementation strategy and address privacy concerns."
S5,Biker can view all the available bikes in close proximity defined by the him/her such as specifying that they only want to see the bikes that are available in a proximity of 100 meters.,2,"The design solution for enabling bikers to view available bikes in close proximity leverages the Microservices Architecture pattern, which structures the application as a collection of loosely coupled services. This approach is appropriate given the requirement for scalability and independent deployment, essential for location-based services that may need frequent updates. The design rationale emphasizes the need to assess previous decisions, ensuring that the solution avoids redundancy. However, the solution does not yet finalize a complete design, indicating a need for further decisions regarding service management and data consistency. The reflection scores the design an 8 out of 10, acknowledging its relevance but highlighting the absence of a comprehensive solution. Assumptions include the necessity for real-time data updates, while potential risks involve increased complexity in service management. Follow-up decisions will be required to address these complexities and ensure a robust implementation."
S5,Biker can view all the available bikes in close proximity defined by the him/her such as specifying that they only want to see the bikes that are available in a proximity of 100 meters.,3,"The design solution for enabling bikers to view available bikes in close proximity leverages the Event-Driven Architecture pattern, which is well-suited for real-time updates on bike availability. This choice allows the system to provide immediate notifications to users based on their specified proximity, enhancing user experience. However, the complexity of managing event flows and ensuring message delivery introduces potential risks, such as increased infrastructure demands. The design assumes a robust event management system is in place, which may constrain scalability. While the solution effectively addresses the requirement, it scores an 8 out of 10, indicating that further refinement is needed to finalize the implementation details for the proximity feature. Additional follow-up decisions will be necessary to ensure seamless integration of the chosen patterns and to mitigate the identified trade-offs. Overall, the design positively impacts the system's responsiveness and user engagement but requires careful consideration of its complexity and infrastructure needs."
S6,"App must help the biker to navigate to the available bike that they have selected. Upon reaching the bike, the biker should scan the code on bike scanner or by inputting the four digit code to register the bike for 90 minutes.",0,"The design solution for the bike app focuses on utilizing the Model-View-Controller (MVC) pattern to effectively manage the navigation and registration processes. This choice promotes separation of concerns, allowing for modular development and easier management of the app's functionalities. The expert's rationale highlights the importance of exploring various design patterns, ultimately concluding that MVC is suitable for the app's architecture. However, the reflection indicates that while the design is on the right track, a final decision on implementation is still pending, resulting in a score of 8 out of 10. The design assumes a need for clear modularization and user-friendly interactions, but it may introduce complexity for novice developers. Additionally, potential risks include performance issues with the Observer Pattern if not managed properly. Follow-up decisions will be necessary to finalize the implementation of the chosen pattern and address any complexities that arise."
S6,"App must help the biker to navigate to the available bike that they have selected. Upon reaching the bike, the biker should scan the code on bike scanner or by inputting the four digit code to register the bike for 90 minutes.",1,"The design solution for the bike app focuses on utilizing the Command Pattern to manage the registration process, which is essential for allowing bikers to register their selected bikes efficiently. This pattern decouples the registration logic from its implementation, facilitating easier modifications and supporting features like undo/redo, enhancing user experience. The design rationale emphasizes the importance of identifying suitable design patterns, particularly the Command Pattern, to address the navigation and registration requirements effectively. Assumptions include the need for an object-oriented design, while constraints involve managing potential complexity introduced by multiple commands. The solution scores an 8 out of 10, indicating a strong alignment with the requirements, though it remains in the analysis phase and requires further decisions to finalize the implementation. Quality attributes such as maintainability and user experience are positively impacted, but risks include the need for careful command management to avoid complications. Additional follow-up decisions will be necessary to complete the design and ensure robust functionality."
S7,As soon as the bike is registered it must be removed from the list of available bikes.,0,"The design solution focuses on the requirement that a bike must be removed from the list of available bikes upon registration. The expert identified several design patterns suitable for this task, including the Iterator, Command, Observer, Strategy, and Visitor patterns. The last steps of the rationale emphasized the Observer pattern for its ability to notify dependent components when an item is removed, ensuring system consistency, while also considering the Command pattern for its potential to implement undo functionality. The design assumes an object-oriented context and acknowledges constraints such as potential memory leaks with the Observer pattern. The solution enhances quality attributes like maintainability and flexibility but introduces risks related to complexity and memory management. The reflection scores the design an 8 out of 10, noting that while the exploration of patterns is thorough, a final decision on the specific pattern to implement remains pending, which affects the completeness of the solution. Additional follow-up decisions will be necessary to finalize the pattern selection and address any identified risks."
S7,As soon as the bike is registered it must be removed from the list of available bikes.,1,"The design solution employs the State pattern to manage the availability status of bikes in the CityBike system, ensuring that once a bike is registered, it transitions from the 'available' state to the 'rented' state, effectively removing it from the list of available bikes. This decision is grounded in the requirement to alter the bike's behavior based on its current state, which enhances clarity in managing bike states and reduces errors in availability tracking. Assumptions include a limited number of states (available, rented, maintenance) and a real-time update mechanism for the available bikes list. While the design improves user experience and system maintainability, it introduces complexity with potential performance overhead if not optimized. The reflection scores the solution an 8 out of 10, acknowledging that while the State pattern effectively addresses the requirement, further definition of state transitions and implementation details is necessary for completeness. Follow-up decisions include specifying states and transitions and integrating state management logic into the bike context class."
S7,As soon as the bike is registered it must be removed from the list of available bikes.,2,"The design solution focuses on utilizing the Strategy pattern to address the requirement of removing a bike from the list of available bikes upon registration. This pattern allows for the encapsulation of various algorithms for item removal, enabling dynamic selection based on the context, which is particularly useful for managing bike registrations. The expert's rationale emphasizes the importance of exploring design alternatives and assessing their effectiveness, leading to the conclusion that the Strategy pattern is appropriate for the target requirements. However, the reflection indicates that while the design is on the right track, it has not yet reached a final decision, resulting in a score of 7 out of 10. This suggests that while the design addresses the requirement, it may introduce complexity if too many strategies are implemented, posing a risk of confusion. Additional follow-up decisions will be necessary to finalize the implementation details and ensure clarity in managing the strategies. Overall, the design solution shows promise in enhancing the system's quality attributes, particularly in flexibility and maintainability, but requires careful management of potential trade-offs."
S8,The biker must be able to pay via their bank account or by their debit/credit card. Currently the cash payments are not supported.,0,"The design solution focuses on implementing a Payment Gateway Integration pattern to fulfill the requirement of enabling payments via bank accounts and debit/credit cards. This pattern is appropriate as it allows seamless transactions and supports multiple payment methods, enhancing user experience. The design rationale emphasizes the need to comply with security standards, such as PCI DSS, and acknowledges potential trade-offs, including transaction fees and the complexity of integrating with third-party services. The reflection scores the design solution an 8 out of 10, indicating that while it effectively addresses the requirement, further decisions are needed to finalize the implementation. Assumptions include the availability of reliable third-party payment services, while constraints involve ensuring compliance with security regulations. The design's consequences on quality attributes include improved usability and flexibility, but it also introduces risks related to security and dependency on external services. Additional follow-up decisions will be necessary to finalize the integration approach and address compliance measures."
S8,The biker must be able to pay via their bank account or by their debit/credit card. Currently the cash payments are not supported.,1,"The design solution for enabling payment via bank accounts or debit/credit cards employs several architectural patterns, notably the Payment Gateway Integration and API Gateway. These patterns are deemed suitable as they facilitate seamless transactions and manage security compliance, respectively. The rationale culminates in recognizing the need for a scalable solution, leading to the consideration of Microservices Architecture, which enhances resilience and flexibility but introduces operational complexity. The design assumes a need for secure handling of sensitive payment information and is constrained by the requirement to avoid cash payments. While the solution effectively addresses the core requirement, it scores an 8 out of 10 due to the lack of a final decision on the specific pattern to implement, which could impact the completeness of the solution. Potential risks include increased complexity and latency, necessitating follow-up decisions on optimization and service management."
S8,The biker must be able to pay via their bank account or by their debit/credit card. Currently the cash payments are not supported.,2,"The design solution employs the Event-Driven Architecture (EDA) pattern to facilitate payment processing for bikers using bank accounts or debit/credit cards, effectively addressing the requirement of excluding cash payments. This choice allows for asynchronous communication between system components, enhancing scalability and responsiveness. The EDA also supports integration with various third-party payment platforms, which is crucial for accommodating different payment methods. However, the design assumes a reliable message broker for managing event flows, which introduces a dependency that could become a point of failure. While the solution scores an 8 out of 10 for its appropriateness in meeting the requirements, it lacks detailed implementation strategies and does not fully address potential challenges, such as ensuring data consistency and managing event complexities. Follow-up decisions will be necessary to outline these implementation details and mitigate identified risks. Overall, the design effectively enhances quality attributes like scalability and responsiveness but requires careful consideration of its complexities."
S9,The app must notify the biker X minutes prior to the expiry of their rental time. Any overtime rides are subject to additional charges.,0,"The design solution employs the Observer pattern to implement a notification mechanism for bikers, allowing them to receive timely alerts before their rental period expires. This decision is grounded in the need for real-time updates and loose coupling between the bike rental system and the bikers, enabling easy registration and deregistration of observers. The design assumes that bikers will actively register for notifications, and it operates under the constraint of managing potential performance issues associated with multiple observers. While the solution effectively meets the requirement, scoring a 9 out of 10, it does not fully address the complexities and performance implications of the Observer pattern, which could pose risks in high-load scenarios. Additional follow-up decisions will be necessary to optimize performance and manage the event notification process efficiently. Overall, the design enhances the system's responsiveness and user experience but requires careful consideration of scalability and performance trade-offs."
S9,The app must notify the biker X minutes prior to the expiry of their rental time. Any overtime rides are subject to additional charges.,1,"The design solution employs the Publish-Subscribe pattern to implement a notification mechanism that alerts bikers X minutes before their rental time expires, addressing the requirement effectively. This choice is appropriate given the need for a decoupled system that can handle multiple notifications without blocking operations. Assumptions include a reliable messaging infrastructure and user consent for notifications, while constraints involve managing user preferences and ensuring timely delivery. The solution enhances system responsiveness but introduces complexity in subscription management and potential risks of message loss due to network issues. The reflection scores the design an 8 out of 10, noting its alignment with the requirement but highlighting the need for a more comprehensive implementation plan and resolution of outstanding clarifying questions. Follow-up decisions include selecting the messaging infrastructure and defining event triggers for notifications."
S9,The app must notify the biker X minutes prior to the expiry of their rental time. Any overtime rides are subject to additional charges.,2,"The design solution focuses on utilizing the Time-based Pricing Pattern, which is essential for notifying bikers about rental expiry and managing overtime charges effectively. This pattern allows for dynamic pricing based on the duration of bike rentals, promoting responsible usage while generating revenue. The design also considers the Billing and Payment Management Pattern to ensure secure handling of payments, which is crucial for managing rental fees. However, the implementation of these patterns assumes accurate tracking of rental time, which could complicate the billing process if not managed properly. The solution's complexity may increase due to the integration of multiple payment platforms and the potential use of the Command Query Responsibility Segregation (CQRS) Pattern for optimizing performance. Overall, the design solution scores an 8 out of 10, indicating a strong alignment with the requirements, though further evaluation and final decisions are necessary to fully address all aspects of the system's functionality."
S9,The app must notify the biker X minutes prior to the expiry of their rental time. Any overtime rides are subject to additional charges.,3,"The design solution focuses on utilizing the Billing and Payment Management Pattern to effectively manage notifications and additional charges for overtime rides, addressing the requirement for timely alerts before rental expiry. The rationale emphasizes the importance of architectural tactics to handle rental time management, with the selected pattern demonstrating strengths in managing billing cycles and integrating with payment platforms, albeit with increased implementation complexity. The reflection indicates a score of 8, acknowledging the relevance of the explored patterns and the understanding of their implications, while noting that a final decision is still pending. Assumptions include the need for accurate billing and notification systems, while constraints involve the complexity of implementation. The design's consequences on quality attributes include improved reliability in notifications but may introduce risks related to system complexity and testing. Follow-up decisions will be necessary to finalize the implementation strategy and ensure comprehensive testing of the billing functionalities."
S9,The app must notify the biker X minutes prior to the expiry of their rental time. Any overtime rides are subject to additional charges.,4,"The design solution employs the State Management Pattern to effectively manage rental time and notify bikers before their rental period expires. This pattern allows the system to track various states of bike rentals, such as available, rented, and overdue, facilitating the implementation of rental time and overtime charge logic. However, the complexity of managing state transitions poses a risk of tight coupling between states, which could impact system maintainability. The design rationale reflects a strong alignment with the requirement, achieving a score of 8 out of 10, indicating that while the solution is robust, it has not fully addressed the notification aspect. Assumptions include the need for an object-oriented design, while constraints involve ensuring clear state management without excessive complexity. Follow-up decisions will be necessary to finalize the notification mechanism and ensure it integrates seamlessly with the state management system. Overall, the design enhances quality attributes such as maintainability and scalability, but careful attention is needed to mitigate potential risks associated with state management complexity."
S10,"The biker must be able to rent the bike for specific minutes, a day or for a week at maximum.",0,"The design solution for the bike rental system employs the Time-based Rental Pattern, which effectively supports the requirement for flexible rental durations, allowing users to rent bikes for specific minutes, days, or weeks. This pattern was chosen after evaluating it against the Strategy Pattern, with the former being more suitable for directly addressing the rental duration needs. The design assumes an object-oriented approach and acknowledges potential complexities in pricing algorithms necessary for different rental durations. While the solution significantly enhances user flexibility and aligns with sustainable mobility goals, it introduces risks related to managing pricing complexities. The reflection on the design solution yields a score of 9, indicating strong satisfaction of the requirements, though it notes that further exploration of pricing implications is needed for a complete assessment. Additional follow-up decisions will be required to refine the pricing strategy and ensure it aligns with the rental model."
S10,"The biker must be able to rent the bike for specific minutes, a day or for a week at maximum.",1,"The design solution for the bike rental system employs the State Management Pattern to address the requirement of allowing bikers to rent bikes for specific durations (minutes, a day, or a week). This pattern is deemed appropriate as it facilitates the creation of distinct rental states (e.g., MinuteRentalState, DayRentalState, WeekRentalState), enabling clear management of different rental durations through a centralized RentalState context class. The design assumes that the system will be implemented using object-oriented principles and acknowledges the need for flexibility in rental durations. While the solution effectively meets the requirement, it scores an 8 out of 10 due to incomplete articulation of the final design. Potential risks include the complexity of managing multiple states and the need for additional follow-up decisions regarding the implementation of state transitions and user interface interactions. Overall, the design enhances the system's quality attributes by promoting maintainability and scalability, though careful consideration of trade-offs in complexity is necessary."
S11,The app allows the biker to view and download their bike usage history upto last 3 months in the form.,0,"The design solution employs the CQRS (Command Query Responsibility Segregation) pattern to address the requirement of allowing bikers to view and download their bike usage history for the last three months. This decision was made after evaluating the suitability of various patterns, with CQRS being favored for its ability to separate read and write operations, thus enhancing performance and scalability. The design assumes a need for efficient data retrieval while acknowledging the increased complexity that comes with managing separate models. The solution positively impacts quality attributes such as responsiveness and scalability but introduces potential risks related to implementation complexity and the need for careful management of data consistency. The expert's reflection scores the design solution a 9 out of 10, noting its strong alignment with the requirements but highlighting the need for further exploration of implementation details and potential challenges. Additional follow-up decisions will be necessary to address these implementation aspects effectively."
S11,The app allows the biker to view and download their bike usage history upto last 3 months in the form.,1,"The design solution for the requirement of allowing bikers to view and download their bike usage history for the last three months employs the Microservices Architecture pattern. This choice facilitates the development of independent services tailored to specific functionalities, such as managing bike usage history, which enhances scalability and maintainability. The design rationale emphasizes the importance of compliance with data protection standards like GDPR, ensuring that user data is handled appropriately. However, the reflection indicates that while the architecture is suitable, the design is not fully complete, as the interactions between services and final implementation details remain unexplored. This could pose risks related to integration and performance. Additionally, follow-up decisions are necessary to define these interactions and ensure the system's quality attributes, such as reliability and responsiveness, are met. Overall, the design solution scores an 8 out of 10, indicating a strong alignment with the target requirements, albeit with some areas needing further development."
S11,The app allows the biker to view and download their bike usage history upto last 3 months in the form.,2,"The design solution focuses on enhancing the performance and scalability of the bike usage history feature by employing the Caching pattern. This decision stems from the need to improve data retrieval times and reduce database load, which aligns well with the requirement for users to view and download their bike usage history. The expert acknowledges the pros of caching, such as faster access and improved user experience, while also considering the cons, including cache management complexity and the risk of stale data. The design assumes a need for efficient data handling and is constrained by the requirement to maintain data accuracy. While the solution effectively addresses the performance aspect, it scores an 8 out of 10, indicating that further refinement is needed to finalize the design and fully meet the requirement. Additional follow-up decisions will be necessary to implement cache management strategies and ensure data consistency."
S11,The app allows the biker to view and download their bike usage history upto last 3 months in the form.,3,"The design solution focuses on enhancing the performance and scalability of the bike usage history feature by employing architectural patterns such as Caching, Load Balancing, and Microservices Architecture. The rationale emphasizes the need to manage large volumes of data efficiently, with Database Sharding being a key consideration for its effectiveness. The chosen patterns are appropriate for the target requirements, as they address the need for quick access to bike usage history while ensuring system reliability during peak usage. Assumptions include the availability of sufficient resources for implementing these patterns, while constraints may involve managing the complexity introduced by Microservices. The design positively impacts quality attributes like responsiveness and scalability but introduces potential risks related to data staleness and service management overhead. The reflection indicates a score of 8, highlighting that while the thought process is logical and relevant, a final design decision is still pending, necessitating further follow-up actions to complete the solution."
S11,The app allows the biker to view and download their bike usage history upto last 3 months in the form.,4,"The design solution for the requirement of allowing bikers to view and download their bike usage history incorporates the Access Control pattern to manage user permissions effectively. This decision stems from the need for user authentication and authorization, ensuring that only authorized users can access sensitive data, thus aligning with security standards like GDPR. The design assumes a robust user management system is in place, which may introduce complexity in implementation and ongoing management of user roles. The solution positively impacts quality attributes such as security and data integrity but may pose risks related to the complexity of access management. The expert's reflection scores the design an 8 out of 10, indicating it satisfactorily addresses the requirement, though it acknowledges that further final design decisions are necessary to complete the implementation."
S12,The bike administrator is able to view all the bikes in the city as available or under utilization.,0,"The design solution employs the Observer Pattern to fulfill the requirement that the bike administrator can view all bikes in the city as available or under utilization. This pattern allows bikes to act as subjects that notify registered observers, including the bike administrator, of any status changes in real-time, enhancing system responsiveness. The design assumes frequent status changes and the need for efficient handling of multiple observers, which may introduce complexity in managing registrations and notifications. The quality attributes of the system are positively impacted by improved responsiveness, although there are risks of cascading updates and performance issues with a high number of observers. The expert's reflection scores the design solution a 9 out of 10, acknowledging its effectiveness while noting that further exploration of implementation details and potential concerns is necessary for a complete solution. Follow-up decisions include defining observer registration processes and establishing communication mechanisms for notifications."
S12,The bike administrator is able to view all the bikes in the city as available or under utilization.,1,"The design solution employs the Command Query Responsibility Segregation (CQRS) pattern to fulfill the requirement that the bike administrator can view all bikes in the city as available or under utilization. This decision is based on the observation that CQRS effectively separates the command side, which manages updates to bike availability, from the query side, which optimizes the retrieval of bike status. The rationale highlights that this separation enhances scalability and performance, particularly given the anticipated high volume of read operations compared to writes. Assumptions include the system's capability to handle the complexity of CQRS without impacting development timelines, while potential risks involve increased architectural complexity and challenges in managing eventual consistency. The reflection scores the design solution a 9 out of 10, noting its strong alignment with the requirements but indicating that further exploration of follow-up decisions and clarifying questions could enhance the design."
S12,The bike administrator is able to view all the bikes in the city as available or under utilization.,2,"The design solution focuses on enhancing the visibility of bike statuses in the system, primarily utilizing the Publish-Subscribe Pattern and Real-time Data Streaming. These patterns were chosen for their ability to provide real-time updates and decoupled communication, which are essential for the requirement that allows the bike administrator to view all bikes as available or under utilization. The design assumes a robust infrastructure is in place to support real-time data transmission, while also acknowledging potential complexities in implementation. The reflection indicates that the thought process is logical and relevant, scoring an 8 out of 10, but notes that a final decision on the specific pattern to implement is still pending, which affects the completeness of the solution. This design choice positively impacts the system's responsiveness and scalability but introduces risks related to message ordering and performance under high load. Additional follow-up decisions will be necessary to finalize the pattern selection and address these risks."
S13,The administrator must be able to do a hourly and daily usage of the bikes.,0,"The design solution employs the Application metrics pattern to effectively track and report hourly and daily bike usage, aligning well with the requirement for administrators to monitor bike rentals. This pattern facilitates the collection and aggregation of usage data, enabling visualization and analysis of key performance indicators such as rental frequency and duration. While the decision to implement this pattern is appropriate, it introduces additional infrastructure complexity for metrics collection and monitoring, which could impact system performance. The reflection scores the solution a 9 out of 10, acknowledging its strong alignment with the requirement but noting that it lacks a comprehensive discussion of potential implementation challenges and alternatives. Assumptions include the availability of resources for the additional infrastructure, while trade-offs involve balancing complexity against the benefits of enhanced data insights. Follow-up decisions will be necessary to address these implementation challenges and ensure the system's scalability and reliability."
S13,The administrator must be able to do a hourly and daily usage of the bikes.,1,"The design solution employs the Data Aggregation Pattern to fulfill the requirement for hourly and daily bike usage reporting. This pattern facilitates efficient data collection and summarization, allowing the system to provide comprehensive reports on bike usage. The decision to implement this pattern is appropriate, as it directly addresses the need for data aggregation while enhancing performance by minimizing the volume of data processed at once. However, the design assumes that the existing system can accommodate the additional complexity of data handling, which may pose risks related to processing power and integration challenges. The reflection indicates a strong alignment with the requirements, scoring 9 out of 10, but notes that further implementation details and integration strategies are necessary to fully realize the solution. Additional follow-up decisions will be required to ensure seamless integration of the Data Aggregation Pattern into the current architecture."
S13,The administrator must be able to do a hourly and daily usage of the bikes.,2,"The design solution employs the Monitoring and Logging pattern to fulfill the requirement that the administrator must be able to perform hourly and daily usage reporting of bikes. This decision is grounded in the assumption that the system can log usage data without compromising performance and complies with data protection regulations. The design enhances visibility into bike usage patterns, which supports informed decision-making, although it may introduce performance overhead due to logging activities. Potential risks include data overload, which could hinder meaningful insights, and a trade-off between the granularity of logged data and system performance. Follow-up decisions are necessary to define specific metrics for logging, select appropriate monitoring tools, and establish data retention policies. The reflection indicates that while the design is appropriate and scores an 8 out of 10, it lacks completeness due to pending implementation details and metrics."
